CustomerID,Recency,Frequency,Monetary
12347.0,2,182,4310.0
12348.0,75,31,1797.24
12349.0,19,73,1757.55
12350.0,310,17,334.4
12352.0,36,85,2506.04
12353.0,204,4,89.0
12354.0,232,58,1079.4
12355.0,214,13,459.4
12356.0,23,59,2811.43
12357.0,33,131,6207.67
12358.0,2,19,1168.06
12359.0,58,245,6310.03
12360.0,52,129,2662.06
12361.0,287,10,189.9
12362.0,3,266,5226.23
12363.0,110,23,552.0
12364.0,8,85,1313.1
12365.0,291,22,641.38
12367.0,4,11,168.9
12370.0,51,166,3541.94
12371.0,45,63,1887.96
12372.0,72,52,1298.04
12373.0,311,14,364.6
12374.0,25,33,742.9300000000001
12375.0,11,17,457.5
12377.0,315,77,1628.12
12378.0,130,219,4008.62
12379.0,82,40,852.24
12380.0,22,104,2724.81
12381.0,5,87,1845.31
12383.0,185,99,1850.56
12384.0,29,27,585.27
12386.0,338,10,401.9
12388.0,16,100,2780.66
12390.0,80,32,549.84
12391.0,22,93,439.66
12393.0,72,64,1582.6000000000001
12394.0,64,27,1272.48
12395.0,19,156,3018.63
12397.0,36,126,2409.9
12398.0,46,85,1635.6599999999999
12399.0,119,59,1108.65
12401.0,303,5,84.3
12402.0,323,11,225.6
12403.0,50,5,427.7
12405.0,149,54,1710.39
12406.0,22,105,3415.3
12407.0,50,77,1708.1200000000001
12408.0,33,105,2888.55
12409.0,79,109,11072.67
12410.0,309,26,693.3299999999999
12412.0,75,61,1226.88
12413.0,67,38,758.1
12414.0,217,18,562.41
12415.0,24,714,124914.53
12417.0,3,192,3649.1
12418.0,113,34,668.58
12420.0,64,29,600.39
12421.0,16,45,807.04
12422.0,96,39,803.5600000000001
12423.0,1,125,1859.31
12424.0,163,30,1760.96
12425.0,78,36,777.2
12426.0,195,30,582.73
12427.0,22,31,825.8
12428.0,26,294,7956.46
12429.0,9,97,3750.4
12430.0,43,11,256.4
12431.0,36,234,6419.95
12432.0,43,108,5059.32
12433.0,1,420,13375.87
12434.0,85,50,806.14
12435.0,80,36,7829.89
12436.0,100,16,509.01
12437.0,2,199,4951.41
12438.0,14,98,2906.85
12441.0,367,11,173.55
12442.0,3,12,172.06
12444.0,21,176,5005.46
12445.0,22,4,133.4
12446.0,58,57,1002.3100000000001
12447.0,243,26,476.49
12448.0,44,22,449.45
12449.0,22,191,4067.29
12450.0,156,8,197.88
12451.0,11,354,9035.52
12452.0,17,22,430.57
12453.0,134,43,707.09
12454.0,56,15,3528.34
12455.0,73,90,2466.86
12456.0,44,125,3181.04
12457.0,66,62,2363.23
12458.0,71,38,947.4
12461.0,94,35,826.88
12462.0,19,62,1189.59
12463.0,53,83,1344.78
12464.0,10,29,1212.05
12465.0,17,47,742.1899999999999
12468.0,188,38,729.5400000000001
12471.0,2,459,19788.65
12472.0,32,339,6572.11
12473.0,29,167,3928.0499999999997
12474.0,17,422,7324.09
12475.0,54,36,723.38
12476.0,16,233,6816.42
12477.0,23,300,13219.74
12478.0,4,36,680.99
12479.0,11,31,527.2
12480.0,28,154,3281.63
12481.0,23,216,5579.82
12483.0,17,75,2484.98
12484.0,33,343,4527.32
12488.0,10,55,1298.66
12489.0,336,15,334.93
12490.0,5,245,5417.93
12491.0,39,26,460.40000000000003
12492.0,63,20,263.21000000000004
12493.0,166,22,433.74
12494.0,16,77,1246.1000000000001
12497.0,82,14,1043.1
12498.0,21,23,403.70000000000005
12500.0,23,61,4257.82
12501.0,337,149,2169.39
12502.0,96,147,3723.87
12504.0,18,9,482.04999999999995
12506.0,233,23,73.5
12507.0,134,21,1304.81
12508.0,26,68,397.88
12509.0,284,7,176.5
12510.0,143,33,982.5699999999999
12512.0,66,31,132.18
12513.0,113,35,612.29
12514.0,267,51,1017.68
12515.0,353,16,383.7
12516.0,78,26,1312.06
12517.0,28,279,2481.6
12518.0,1,124,2056.89
12519.0,64,17,330.84
12520.0,79,152,2634.26
12521.0,143,38,599.68
12522.0,39,12,192.72
12523.0,19,106,1789.77
12524.0,9,144,4485.72
12526.0,1,71,1316.66
12527.0,82,18,348.71000000000004
12528.0,9,92,1933.48
12530.0,60,66,1662.28
12531.0,15,17,125.22
12532.0,30,16,349.83000000000004
12534.0,131,63,1089.18
12535.0,92,34,716.35
12536.0,43,261,12601.830000000002
12538.0,29,21,363.95
12539.0,22,273,5568.35
12540.0,20,478,13400.24
12541.0,30,52,981.18
12544.0,36,19,372.7
12545.0,75,50,1000.39
12546.0,47,69,1161.5
12547.0,198,8,207.79999999999998
12548.0,166,5,95.19999999999999
12550.0,79,57,964.83
12551.0,358,10,168.0
12552.0,39,20,437.82
12553.0,8,191,3692.28
12556.0,50,119,599.56
12557.0,16,33,11990.960000000001
12558.0,8,11,269.96
12559.0,311,21,561.71
12560.0,5,105,2134.01
12561.0,303,16,238.85
12562.0,8,168,3781.7400000000002
12564.0,261,21,456.9
12565.0,289,9,145.92
12566.0,86,19,351.65
12567.0,23,446,9401.28
12569.0,2,188,4124.69
12571.0,40,34,519.61
12572.0,9,60,1020.42
12573.0,227,28,160.54000000000002
12574.0,316,11,218.45
12576.0,36,88,1315.83
12577.0,35,146,626.6
12578.0,21,114,2794.51
12579.0,78,29,440.42
12580.0,247,24,415.7
12581.0,40,15,197.71
12582.0,239,22,511.36
12583.0,3,247,7281.38
12584.0,4,96,2338.15
12585.0,234,87,2040.1
12586.0,17,11,196.94000000000003
12587.0,8,4,144.0
12588.0,39,10,214.89999999999998
12589.0,29,35,646.68
12590.0,211,68,9864.26
12591.0,317,26,452.84999999999997
12592.0,92,18,437.6
12593.0,109,21,418.09999999999997
12594.0,38,118,3338.2200000000003
12596.0,51,27,618.27
12597.0,19,206,3811.22
12598.0,10,132,3023.08
12599.0,29,62,1032.58
12600.0,29,64,2599.04
12601.0,190,28,577.0600000000001
12602.0,59,12,153.12
12603.0,22,2,739.1999999999999
12604.0,79,16,254.18
12607.0,60,101,1579.51
12609.0,78,60,1126.85
12610.0,23,106,2099.54
12611.0,52,65,1193.32
12612.0,74,19,704.0400000000001
12613.0,57,153,3344.38
12614.0,278,20,315.6
12615.0,2,105,2291.19
12616.0,95,32,713.3
12617.0,29,41,352.98
12618.0,22,11,177.31
12619.0,16,90,3641.24
12620.0,15,92,1339.41
12621.0,2,467,13689.67
12622.0,232,11,180.1
12623.0,276,18,305.1
12624.0,106,38,641.13
12625.0,212,86,2683.82
12626.0,23,294,6620.48
12627.0,11,230,4478.53
12628.0,4,41,786.46
12630.0,10,64,1270.88
12631.0,57,31,640.5
12633.0,59,101,2163.98
12635.0,90,101,1689.18
12637.0,67,382,6002.9
12638.0,33,39,671.69
12639.0,239,22,486.1
12640.0,24,53,1174.58
12641.0,115,10,185.9
12642.0,25,47,1013.26
12643.0,128,24,3344.64
12644.0,130,31,477.91
12645.0,34,73,1775.18
12646.0,5,45,1346.97
12647.0,22,121,3722.82
12648.0,155,21,318.05
12649.0,107,31,623.51
12650.0,3,20,314.44
12651.0,335,9,114.0
12652.0,331,48,919.98
12653.0,149,43,2209.85
12654.0,11,38,601.98
12656.0,17,126,4051.17
12657.0,11,47,1643.18
12658.0,19,36,686.05
12659.0,30,5,91.68
12660.0,11,13,245.1
